pop_idx,regime,rho,beta,N,T,sigma,jaccard
29,rec,0.1,0.1,1000,15,0.25,0.08688888888888915
29,partial,0.1,0.1,1000,15,0.25,0.13933333333333403
29,no_rec,0.1,0.1,1000,15,0.25,0.0
30,rec,0.1,0.1,1000,15,0.25,0.11466666666666718
30,partial,0.1,0.1,1000,15,0.25,0.1888888888888898
30,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
31,rec,0.1,0.1,1000,15,0.25,0.16538095238095343
31,partial,0.1,0.1,1000,15,0.25,0.25955555555555593
31,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
32,rec,0.1,0.1,1000,15,0.25,0.11022222222222268
32,partial,0.1,0.1,1000,15,0.25,0.2171111111111121
32,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
33,rec,0.1,0.1,1000,15,0.25,0.1533333333333342
33,partial,0.1,0.1,1000,15,0.25,0.24177777777777826
33,no_rec,0.1,0.1,1000,15,0.25,0.0015555555555555553
34,rec,0.1,0.1,1000,15,0.25,0.22222222222222265
34,partial,0.1,0.1,1000,15,0.25,0.40288888888889085
34,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
35,rec,0.1,0.1,1000,15,0.25,0.11755555555555615
35,partial,0.1,0.1,1000,15,0.25,0.21022222222222273
35,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
36,rec,0.1,0.1,1000,15,0.25,0.22711111111111146
36,partial,0.1,0.1,1000,15,0.25,0.35222222222222466
36,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
37,rec,0.1,0.1,1000,15,0.25,0.14933333333333407
37,partial,0.1,0.1,1000,15,0.25,0.23733333333333373
37,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
38,rec,0.1,0.1,1000,15,0.25,0.21200000000000072
38,partial,0.1,0.1,1000,15,0.25,0.34200000000000147
38,no_rec,0.1,0.1,1000,15,0.25,0.002222222222222222
39,rec,0.1,0.1,1000,15,0.25,0.23333333333333395
39,partial,0.1,0.1,1000,15,0.25,0.4028888888888907
39,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
40,rec,0.1,0.1,1000,15,0.25,0.17244444444444534
40,partial,0.1,0.1,1000,15,0.25,0.292222222222223
40,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
41,rec,0.1,0.1,1000,15,0.25,0.13444444444444512
41,partial,0.1,0.1,1000,15,0.25,0.2475555555555559
41,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
42,rec,0.1,0.1,1000,15,0.25,0.21288888888888968
42,partial,0.1,0.1,1000,15,0.25,0.3306666666666684
42,no_rec,0.1,0.1,1000,15,0.25,0.003555555555555555
43,rec,0.1,0.1,1000,15,0.25,0.19311111111111212
43,partial,0.1,0.1,1000,15,0.25,0.3013333333333347
43,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
44,rec,0.1,0.1,1000,15,0.25,0.16111111111111195
44,partial,0.1,0.1,1000,15,0.25,0.259555555555556
44,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
45,rec,0.1,0.1,1000,15,0.25,0.14066666666666747
45,partial,0.1,0.1,1000,15,0.25,0.2113333333333343
45,no_rec,0.1,0.1,1000,15,0.25,0.0019999999999999996
46,rec,0.1,0.1,1000,15,0.25,0.11644444444444497
46,partial,0.1,0.1,1000,15,0.25,0.21733333333333435
46,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
47,rec,0.1,0.1,1000,15,0.25,0.2184444444444451
47,partial,0.1,0.1,1000,15,0.25,0.35755555555555724
47,no_rec,0.1,0.1,1000,15,0.25,0.0015555555555555553
48,rec,0.1,0.1,1000,15,0.25,0.22066666666666762
48,partial,0.1,0.1,1000,15,0.25,0.31955555555555654
48,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
49,rec,0.1,0.1,1000,15,0.25,0.17888888888888968
49,partial,0.1,0.1,1000,15,0.25,0.312444444444446
49,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
0,rec,0.1,0.1,1000,15,1.0,0.22311111111111212
0,partial,0.1,0.1,1000,15,1.0,0.44466666666666727
0,no_rec,0.1,0.1,1000,15,1.0,0.0006666666666666665
1,rec,0.1,0.1,1000,15,1.0,0.2342222222222225
1,partial,0.1,0.1,1000,15,1.0,0.3964444444444466
1,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
2,rec,0.1,0.1,1000,15,1.0,0.21755555555555636
2,partial,0.1,0.1,1000,15,1.0,0.5295555555555559
2,no_rec,0.1,0.1,1000,15,1.0,0.0006666666666666665
3,rec,0.1,0.1,1000,15,1.0,0.1464444444444451
3,partial,0.1,0.1,1000,15,1.0,0.3982222222222234
3,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
4,rec,0.1,0.1,1000,15,1.0,0.1382222222222228
4,partial,0.1,0.1,1000,15,1.0,0.5006666666666664
4,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
5,rec,0.1,0.1,1000,15,1.0,0.21422222222222284
5,partial,0.1,0.1,1000,15,1.0,0.4213333333333347
5,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
6,rec,0.1,0.1,1000,15,1.0,0.14733333333333423
6,partial,0.1,0.1,1000,15,1.0,0.28111111111111237
6,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
7,rec,0.1,0.1,1000,15,1.0,0.14800000000000077
7,partial,0.1,0.1,1000,15,1.0,0.3084444444444454
7,no_rec,0.1,0.1,1000,15,1.0,0.0022222222222222222
8,rec,0.1,0.1,1000,15,1.0,0.13222222222222285
8,partial,0.1,0.1,1000,15,1.0,0.333111111111112
8,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
9,rec,0.1,0.1,1000,15,1.0,0.13511111111111176
9,partial,0.1,0.1,1000,15,1.0,0.3637777777777793
9,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
10,rec,0.1,0.1,1000,15,1.0,0.12311111111111162
10,partial,0.1,0.1,1000,15,1.0,0.41488888888888975
10,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
11,rec,0.1,0.1,1000,15,1.0,0.14955555555555608
11,partial,0.1,0.1,1000,15,1.0,0.33644444444444516
11,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
12,rec,0.1,0.1,1000,15,1.0,0.1915555555555563
12,partial,0.1,0.1,1000,15,1.0,0.5099999999999997
12,no_rec,0.1,0.1,1000,15,1.0,0.0022222222222222222
13,rec,0.1,0.1,1000,15,1.0,0.2200000000000008
13,partial,0.1,0.1,1000,15,1.0,0.4677777777777783
13,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
14,rec,0.1,0.1,1000,15,1.0,0.12577777777777824
14,partial,0.1,0.1,1000,15,1.0,0.2971111111111122
14,no_rec,0.1,0.1,1000,15,1.0,0.002222222222222222
15,rec,0.1,0.1,1000,15,1.0,0.18888888888888944
15,partial,0.1,0.1,1000,15,1.0,0.43488888888889043
15,no_rec,0.1,0.1,1000,15,1.0,0.0022222222222222222
16,rec,0.1,0.1,1000,15,1.0,0.17288888888889006
16,partial,0.1,0.1,1000,15,1.0,0.34377777777777907
16,no_rec,0.1,0.1,1000,15,1.0,0.001111111111111111
17,rec,0.1,0.1,1000,15,1.0,0.18044444444444555
17,partial,0.1,0.1,1000,15,1.0,0.4364444444444453
17,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
18,rec,0.1,0.1,1000,15,1.0,0.19826984126984115
18,partial,0.1,0.1,1000,15,1.0,0.45952380952380945
18,no_rec,0.1,0.1,1000,15,1.0,0.001111111111111111
19,rec,0.1,0.1,1000,15,1.0,0.2502222222222232
19,partial,0.1,0.1,1000,15,1.0,0.49866666666666626
19,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
20,rec,0.1,0.1,1000,15,1.0,0.13866666666666724
20,partial,0.1,0.1,1000,15,1.0,0.3651111111111121
20,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
21,rec,0.1,0.1,1000,15,1.0,0.2126666666666673
21,partial,0.1,0.1,1000,15,1.0,0.42822222222222317
21,no_rec,0.1,0.1,1000,15,1.0,0.002222222222222222
22,rec,0.1,0.1,1000,15,1.0,0.22066666666666734
22,partial,0.1,0.1,1000,15,1.0,0.5248888888888881
22,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
23,rec,0.1,0.1,1000,15,1.0,0.1904444444444455
23,partial,0.1,0.1,1000,15,1.0,0.4340000000000013
23,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
24,rec,0.1,0.1,1000,15,1.0,0.20711111111111202
24,partial,0.1,0.1,1000,15,1.0,0.5028888888888883
24,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
25,rec,0.1,0.1,1000,15,1.0,0.24644444444444455
25,partial,0.1,0.1,1000,15,1.0,0.5157777777777778
25,no_rec,0.1,0.1,1000,15,1.0,0.001111111111111111
26,rec,0.1,0.1,1000,15,1.0,0.14066666666666747
26,partial,0.1,0.1,1000,15,1.0,0.26200000000000107
26,no_rec,0.1,0.1,1000,15,1.0,0.002666666666666666
27,rec,0.1,0.1,1000,15,1.0,0.1746666666666677
27,partial,0.1,0.1,1000,15,1.0,0.3933333333333352
27,no_rec,0.1,0.1,1000,15,1.0,0.0006666666666666665
28,rec,0.1,0.1,1000,15,1.0,0.16022222222222282
28,partial,0.1,0.1,1000,15,1.0,0.4257777777777791
28,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
29,rec,0.1,0.1,1000,15,1.0,0.09777777777777828
29,partial,0.1,0.1,1000,15,1.0,0.26133333333333386
29,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
30,rec,0.1,0.1,1000,15,1.0,0.13422222222222296
30,partial,0.1,0.1,1000,15,1.0,0.2973333333333343
30,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
31,rec,0.1,0.1,1000,15,1.0,0.16884126984127049
31,partial,0.1,0.1,1000,15,1.0,0.43134920634920765
31,no_rec,0.1,0.1,1000,15,1.0,0.0006666666666666665
32,rec,0.1,0.1,1000,15,1.0,0.12666666666666723
32,partial,0.1,0.1,1000,15,1.0,0.38244444444444575
32,no_rec,0.1,0.1,1000,15,1.0,0.00022222222222222218
33,rec,0.1,0.1,1000,15,1.0,0.16422222222222316
33,partial,0.1,0.1,1000,15,1.0,0.3582222222222247
33,no_rec,0.1,0.1,1000,15,1.0,0.001111111111111111
34,rec,0.1,0.1,1000,15,1.0,0.24644444444444488
34,partial,0.1,0.1,1000,15,1.0,0.521555555555555
34,no_rec,0.1,0.1,1000,15,1.0,0.001111111111111111
35,rec,0.1,0.1,1000,15,1.0,0.1326666666666672
35,partial,0.1,0.1,1000,15,1.0,0.3486666666666673
35,no_rec,0.1,0.1,1000,15,1.0,0.0015555555555555553
36,rec,0.1,0.1,1000,15,1.0,0.26177777777777844
36,partial,0.1,0.1,1000,15,1.0,0.48244444444444523
36,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
37,rec,0.1,0.1,1000,15,1.0,0.15266666666666726
37,partial,0.1,0.1,1000,15,1.0,0.3966666666666678
37,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
38,rec,0.1,0.1,1000,15,1.0,0.23911111111111172
38,partial,0.1,0.1,1000,15,1.0,0.5682222222222231
38,no_rec,0.1,0.1,1000,15,1.0,0.001111111111111111
39,rec,0.1,0.1,1000,15,1.0,0.2726666666666676
39,partial,0.1,0.1,1000,15,1.0,0.6382222222222246
39,no_rec,0.1,0.1,1000,15,1.0,0.0017777777777777774
40,rec,0.1,0.1,1000,15,1.0,0.19177777777777852
40,partial,0.1,0.1,1000,15,1.0,0.48622222222222194
40,no_rec,0.1,0.1,1000,15,1.0,0.0015555555555555553
41,rec,0.1,0.1,1000,15,1.0,0.15888888888888977
41,partial,0.1,0.1,1000,15,1.0,0.3731111111111131
41,no_rec,0.1,0.1,1000,15,1.0,0.0015555555555555553
42,rec,0.1,0.1,1000,15,1.0,0.2324444444444454
42,partial,0.1,0.1,1000,15,1.0,0.43111111111111244
42,no_rec,0.1,0.1,1000,15,1.0,0.002444444444444444
43,rec,0.1,0.1,1000,15,1.0,0.22622222222222305
43,partial,0.1,0.1,1000,15,1.0,0.44933333333333414
43,no_rec,0.1,0.1,1000,15,1.0,0.0019999999999999996
44,rec,0.1,0.1,1000,15,1.0,0.16933333333333409
44,partial,0.1,0.1,1000,15,1.0,0.39333333333333487
44,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
45,rec,0.1,0.1,1000,15,1.0,0.15377777777777835
45,partial,0.1,0.1,1000,15,1.0,0.3708888888888899
45,no_rec,0.1,0.1,1000,15,1.0,0.0006666666666666665
46,rec,0.1,0.1,1000,15,1.0,0.13355555555555615
46,partial,0.1,0.1,1000,15,1.0,0.4004444444444455
46,no_rec,0.1,0.1,1000,15,1.0,0.001111111111111111
47,rec,0.1,0.1,1000,15,1.0,0.2555555555555563
47,partial,0.1,0.1,1000,15,1.0,0.652000000000003
47,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
48,rec,0.1,0.1,1000,15,1.0,0.2355555555555557
48,partial,0.1,0.1,1000,15,1.0,0.4999999999999981
48,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
49,rec,0.1,0.1,1000,15,1.0,0.20155555555555632
49,partial,0.1,0.1,1000,15,1.0,0.4840000000000003
49,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
0,rec,0.1,0.1,1000,15,4.0,0.22577777777777877
0,partial,0.1,0.1,1000,15,4.0,0.6413333333333369
0,no_rec,0.1,0.1,1000,15,4.0,0.0006666666666666665
1,rec,0.1,0.1,1000,15,4.0,0.23355555555555593
1,partial,0.1,0.1,1000,15,4.0,0.5306666666666664
1,no_rec,0.1,0.1,1000,15,4.0,0.0008888888888888887
2,rec,0.1,0.1,1000,15,4.0,0.23466666666666738
2,partial,0.1,0.1,1000,15,4.0,0.7002222222222271
2,no_rec,0.1,0.1,1000,15,4.0,0.00044444444444444436
3,rec,0.1,0.1,1000,15,4.0,0.1562222222222231
3,partial,0.1,0.1,1000,15,4.0,0.6015555555555582
3,no_rec,0.1,0.1,1000,15,4.0,0.0028888888888888888
4,rec,0.1,0.1,1000,15,4.0,0.144444444444445
4,partial,0.1,0.1,1000,15,4.0,0.7700000000000053
4,no_rec,0.1,0.1,1000,15,4.0,0.002222222222222222
5,rec,0.1,0.1,1000,15,4.0,0.2260000000000007
5,partial,0.1,0.1,1000,15,4.0,0.5720000000000007
5,no_rec,0.1,0.1,1000,15,4.0,0.0015555555555555553
6,rec,0.1,0.1,1000,15,4.0,0.15955555555555664
6,partial,0.1,0.1,1000,15,4.0,0.44977777777777855
6,no_rec,0.1,0.1,1000,15,4.0,0.0008888888888888887
7,rec,0.1,0.1,1000,15,4.0,0.14933333333333393
7,partial,0.1,0.1,1000,15,4.0,0.5422222222222224
7,no_rec,0.1,0.1,1000,15,4.0,0.002
8,rec,0.1,0.1,1000,15,4.0,0.14466666666666742
8,partial,0.1,0.1,1000,15,4.0,0.5040000000000004
8,no_rec,0.1,0.1,1000,15,4.0,0.001333333333333333
9,rec,0.1,0.1,1000,15,4.0,0.1437777777777782
9,partial,0.1,0.1,1000,15,4.0,0.5715555555555569
9,no_rec,0.1,0.1,1000,15,4.0,0.0015555555555555553
10,rec,0.1,0.1,1000,15,4.0,0.13155555555555629
10,partial,0.1,0.1,1000,15,4.0,0.5877777777777793
10,no_rec,0.1,0.1,1000,15,4.0,0.0006666666666666665
11,rec,0.1,0.1,1000,15,4.0,0.16000000000000075
11,partial,0.1,0.1,1000,15,4.0,0.4628888888888886
11,no_rec,0.1,0.1,1000,15,4.0,0.001333333333333333
12,rec,0.1,0.1,1000,15,4.0,0.20488888888888981
12,partial,0.1,0.1,1000,15,4.0,0.7415555555555603
12,no_rec,0.1,0.1,1000,15,4.0,0.002
13,rec,0.1,0.1,1000,15,4.0,0.23600000000000051
13,partial,0.1,0.1,1000,15,4.0,0.5757777777777787
13,no_rec,0.1,0.1,1000,15,4.0,0.00044444444444444436
14,rec,0.1,0.1,1000,15,4.0,0.1308888888888896
14,partial,0.1,0.1,1000,15,4.0,0.4151111111111114
14,no_rec,0.1,0.1,1000,15,4.0,0.0006666666666666665
15,rec,0.1,0.1,1000,15,4.0,0.19577777777777838
15,partial,0.1,0.1,1000,15,4.0,0.5120000000000003
15,no_rec,0.1,0.1,1000,15,4.0,0.0006666666666666665
16,rec,0.1,0.1,1000,15,4.0,0.19000000000000083
16,partial,0.1,0.1,1000,15,4.0,0.4891111111111117
16,no_rec,0.1,0.1,1000,15,4.0,0.0015555555555555553
17,rec,0.1,0.1,1000,15,4.0,0.19977777777777886
17,partial,0.1,0.1,1000,15,4.0,0.5653333333333346
17,no_rec,0.1,0.1,1000,15,4.0,0.0017777777777777774
18,rec,0.1,0.1,1000,15,4.0,0.20841269841269833
18,partial,0.1,0.1,1000,15,4.0,0.7192857142857144
18,no_rec,0.1,0.1,1000,15,4.0,0.0008888888888888887
19,rec,0.1,0.1,1000,15,4.0,0.26000000000000106
19,partial,0.1,0.1,1000,15,4.0,0.6444444444444474
