pop_idx,regime,rho,beta,N,T,sigma,jaccard
3,no_rec,0.1,0.1,1000,50,1.0,0.0010000000000000009
4,rec,0.1,0.1,1000,50,1.0,0.06773333333333327
4,partial,0.1,0.1,1000,50,1.0,0.22240000000000013
4,no_rec,0.1,0.1,1000,50,1.0,0.0010666666666666676
5,rec,0.1,0.1,1000,50,1.0,0.08953333333333319
5,partial,0.1,0.1,1000,50,1.0,0.20653333333333365
5,no_rec,0.1,0.1,1000,50,1.0,0.0010000000000000009
6,rec,0.1,0.1,1000,50,1.0,0.06986666666666644
6,partial,0.1,0.1,1000,50,1.0,0.14099999999999988
6,no_rec,0.1,0.1,1000,50,1.0,0.001466666666666668
7,rec,0.1,0.1,1000,50,1.0,0.07139999999999994
7,partial,0.1,0.1,1000,50,1.0,0.15779999999999997
7,no_rec,0.1,0.1,1000,50,1.0,0.001133333333333334
8,rec,0.1,0.1,1000,50,1.0,0.0669999999999999
8,partial,0.1,0.1,1000,50,1.0,0.173
8,no_rec,0.1,0.1,1000,50,1.0,0.0011333333333333343
9,rec,0.1,0.1,1000,50,1.0,0.06546666666666645
9,partial,0.1,0.1,1000,50,1.0,0.18100000000000027
9,no_rec,0.1,0.1,1000,50,1.0,0.0006666666666666673
10,rec,0.1,0.1,1000,50,1.0,0.06473333333333313
10,partial,0.1,0.1,1000,50,1.0,0.219666666666667
10,no_rec,0.1,0.1,1000,50,1.0,0.001266666666666668
11,rec,0.1,0.1,1000,50,1.0,0.07160408163265293
11,partial,0.1,0.1,1000,50,1.0,0.18753333333333347
11,no_rec,0.1,0.1,1000,50,1.0,0.0008666666666666674
12,rec,0.1,0.1,1000,50,1.0,0.0857999999999999
12,partial,0.1,0.1,1000,50,1.0,0.22046666666666687
12,no_rec,0.1,0.1,1000,50,1.0,0.001600000000000001
13,rec,0.1,0.1,1000,50,1.0,0.0871999999999999
13,partial,0.1,0.1,1000,50,1.0,0.1980000000000004
13,no_rec,0.1,0.1,1000,50,1.0,0.0014666666666666676
14,rec,0.1,0.1,1000,50,1.0,0.060873469387754967
14,partial,0.1,0.1,1000,50,1.0,0.15868163265306132
14,no_rec,0.1,0.1,1000,50,1.0,0.0016000000000000014
15,rec,0.1,0.1,1000,50,1.0,0.07826666666666665
15,partial,0.1,0.1,1000,50,1.0,0.181066666666667
15,no_rec,0.1,0.1,1000,50,1.0,0.0010666666666666672
16,rec,0.1,0.1,1000,50,1.0,0.0756666666666665
16,partial,0.1,0.1,1000,50,1.0,0.1746666666666667
16,no_rec,0.1,0.1,1000,50,1.0,0.0013333333333333346
17,rec,0.1,0.1,1000,50,1.0,0.08173333333333324
17,partial,0.1,0.1,1000,50,1.0,0.19906666666666686
17,no_rec,0.1,0.1,1000,50,1.0,0.0006666666666666673
18,rec,0.1,0.1,1000,50,1.0,0.0804408163265308
18,partial,0.1,0.1,1000,50,1.0,0.19448979591836793
18,no_rec,0.1,0.1,1000,50,1.0,0.0014666666666666676
19,rec,0.1,0.1,1000,50,1.0,0.10379999999999981
19,partial,0.1,0.1,1000,50,1.0,0.2212666666666667
19,no_rec,0.1,0.1,1000,50,1.0,0.0010666666666666676
20,rec,0.1,0.1,1000,50,1.0,0.06326666666666649
20,partial,0.1,0.1,1000,50,1.0,0.16640000000000008
20,no_rec,0.1,0.1,1000,50,1.0,0.0013333333333333342
21,rec,0.1,0.1,1000,50,1.0,0.09413333333333317
21,partial,0.1,0.1,1000,50,1.0,0.2055999999999998
21,no_rec,0.1,0.1,1000,50,1.0,0.0016000000000000014
22,rec,0.1,0.1,1000,50,1.0,0.09113333333333316
22,partial,0.1,0.1,1000,50,1.0,0.22113333333333374
22,no_rec,0.1,0.1,1000,50,1.0,0.0013333333333333346
23,rec,0.1,0.1,1000,50,1.0,0.0861333333333332
23,partial,0.1,0.1,1000,50,1.0,0.20953333333333368
23,no_rec,0.1,0.1,1000,50,1.0,0.000733333333333334
24,rec,0.1,0.1,1000,50,1.0,0.08973333333333332
24,partial,0.1,0.1,1000,50,1.0,0.22573333333333329
24,no_rec,0.1,0.1,1000,50,1.0,0.0006000000000000005
0,rec,0.1,0.1,1000,50,4.0,0.09039999999999986
0,partial,0.1,0.1,1000,50,4.0,0.28546666666666665
0,no_rec,0.1,0.1,1000,50,4.0,0.0014000000000000013
1,rec,0.1,0.1,1000,50,4.0,0.09673333333333325
1,partial,0.1,0.1,1000,50,4.0,0.24313333333333328
1,no_rec,0.1,0.1,1000,50,4.0,0.001666666666666668
2,rec,0.1,0.1,1000,50,4.0,0.10299999999999988
2,partial,0.1,0.1,1000,50,4.0,0.3607333333333339
2,no_rec,0.1,0.1,1000,50,4.0,0.0010000000000000009
3,rec,0.1,0.1,1000,50,4.0,0.0728666666666664
3,partial,0.1,0.1,1000,50,4.0,0.2608666666666668
3,no_rec,0.1,0.1,1000,50,4.0,0.0012000000000000008
4,rec,0.1,0.1,1000,50,4.0,0.07059999999999984
4,partial,0.1,0.1,1000,50,4.0,0.3610000000000005
4,no_rec,0.1,0.1,1000,50,4.0,0.0016000000000000014
5,rec,0.1,0.1,1000,50,4.0,0.0987333333333332
5,partial,0.1,0.1,1000,50,4.0,0.3122666666666667
5,no_rec,0.1,0.1,1000,50,4.0,0.001200000000000001
6,rec,0.1,0.1,1000,50,4.0,0.0751333333333332
6,partial,0.1,0.1,1000,50,4.0,0.21713333333333362
6,no_rec,0.1,0.1,1000,50,4.0,0.0010000000000000009
7,rec,0.1,0.1,1000,50,4.0,0.07359999999999993
7,partial,0.1,0.1,1000,50,4.0,0.25266666666666665
7,no_rec,0.1,0.1,1000,50,4.0,0.0010666666666666672
8,rec,0.1,0.1,1000,50,4.0,0.07119999999999986
8,partial,0.1,0.1,1000,50,4.0,0.2640666666666668
8,no_rec,0.1,0.1,1000,50,4.0,0.0010000000000000009
9,rec,0.1,0.1,1000,50,4.0,0.06919999999999989
9,partial,0.1,0.1,1000,50,4.0,0.305866666666667
9,no_rec,0.1,0.1,1000,50,4.0,0.0014000000000000009
10,rec,0.1,0.1,1000,50,4.0,0.06686666666666648
10,partial,0.1,0.1,1000,50,4.0,0.3326000000000006
10,no_rec,0.1,0.1,1000,50,4.0,0.0008000000000000007
11,rec,0.1,0.1,1000,50,4.0,0.07473741496598633
11,partial,0.1,0.1,1000,50,4.0,0.2700666666666667
11,no_rec,0.1,0.1,1000,50,4.0,0.0014000000000000013
12,rec,0.1,0.1,1000,50,4.0,0.0906666666666665
12,partial,0.1,0.1,1000,50,4.0,0.3306666666666667
12,no_rec,0.1,0.1,1000,50,4.0,0.0015333333333333342
13,rec,0.1,0.1,1000,50,4.0,0.09493333333333315
13,partial,0.1,0.1,1000,50,4.0,0.2732666666666664
13,no_rec,0.1,0.1,1000,50,4.0,0.0009333333333333342
14,rec,0.1,0.1,1000,50,4.0,0.0634571428571427
14,partial,0.1,0.1,1000,50,4.0,0.2660462585034017
14,no_rec,0.1,0.1,1000,50,4.0,0.0008000000000000007
15,rec,0.1,0.1,1000,50,4.0,0.08166666666666667
15,partial,0.1,0.1,1000,50,4.0,0.23486666666666697
15,no_rec,0.1,0.1,1000,50,4.0,0.0009333333333333342
16,rec,0.1,0.1,1000,50,4.0,0.0835999999999999
16,partial,0.1,0.1,1000,50,4.0,0.25820000000000026
16,no_rec,0.1,0.1,1000,50,4.0,0.0016000000000000014
17,rec,0.1,0.1,1000,50,4.0,0.08566666666666653
17,partial,0.1,0.1,1000,50,4.0,0.28900000000000037
17,no_rec,0.1,0.1,1000,50,4.0,0.0014666666666666676
18,rec,0.1,0.1,1000,50,4.0,0.0834952380952383
18,partial,0.1,0.1,1000,50,4.0,0.3110204081632658
18,no_rec,0.1,0.1,1000,50,4.0,0.0009333333333333342
19,rec,0.1,0.1,1000,50,4.0,0.10659999999999972
19,partial,0.1,0.1,1000,50,4.0,0.30386666666666673
19,no_rec,0.1,0.1,1000,50,4.0,0.0013333333333333346
20,rec,0.1,0.1,1000,50,4.0,0.0642666666666665
20,partial,0.1,0.1,1000,50,4.0,0.26846666666666685
20,no_rec,0.1,0.1,1000,50,4.0,0.0009333333333333342
21,rec,0.1,0.1,1000,50,4.0,0.09153333333333316
21,partial,0.1,0.1,1000,50,4.0,0.30246666666666705
21,no_rec,0.1,0.1,1000,50,4.0,0.0009333333333333342
22,rec,0.1,0.1,1000,50,4.0,0.09373333333333325
22,partial,0.1,0.1,1000,50,4.0,0.2862000000000005
22,no_rec,0.1,0.1,1000,50,4.0,0.0015333333333333347
23,rec,0.1,0.1,1000,50,4.0,0.08826666666666648
23,partial,0.1,0.1,1000,50,4.0,0.33120000000000016
23,no_rec,0.1,0.1,1000,50,4.0,0.001266666666666668
24,rec,0.1,0.1,1000,50,4.0,0.09219999999999984
24,partial,0.1,0.1,1000,50,4.0,0.3398000000000006
24,no_rec,0.1,0.1,1000,50,4.0,0.0006666666666666673
0,rec,0.1,0.5,1000,50,0.25,0.0037333333333333368
0,partial,0.1,0.5,1000,50,0.25,0.011933333333333301
0,no_rec,0.1,0.5,1000,50,0.25,0.0008000000000000007
1,rec,0.1,0.5,1000,50,0.25,0.004933333333333337
1,partial,0.1,0.5,1000,50,0.25,0.008466666666666648
