pop_idx,regime,rho,beta,N,T,sigma,jaccard
28,partial,0.7,0.7,1000,25,0.25,0.11288163265306278
28,no_rec,0.7,0.7,1000,25,0.25,0.0009469387755102047
29,rec,0.7,0.7,1000,25,0.25,0.0017959183673469403
29,partial,0.7,0.7,1000,25,0.25,0.13789387755102167
29,no_rec,0.7,0.7,1000,25,0.25,0.0007836734693877558
30,rec,0.7,0.7,1000,25,0.25,0.001697959183673471
30,partial,0.7,0.7,1000,25,0.25,0.0013061224489795927
30,no_rec,0.7,0.7,1000,25,0.25,0.000751020408163266
31,rec,0.7,0.7,1000,25,0.25,0.0015673469387755116
31,partial,0.7,0.7,1000,25,0.25,0.11588571428571552
31,no_rec,0.7,0.7,1000,25,0.25,0.0009469387755102049
32,rec,0.7,0.7,1000,25,0.25,0.00186122448979592
32,partial,0.7,0.7,1000,25,0.25,0.16613877551020506
32,no_rec,0.7,0.7,1000,25,0.25,0.0008489795918367353
33,rec,0.7,0.7,1000,25,0.25,0.0019918367346938794
33,partial,0.7,0.7,1000,25,0.25,0.1525877551020422
33,no_rec,0.7,0.7,1000,25,0.25,0.0007836734693877558
34,rec,0.7,0.7,1000,25,0.25,0.0017959183673469403
34,partial,0.7,0.7,1000,25,0.25,0.0011428571428571436
34,no_rec,0.7,0.7,1000,25,0.25,0.001273469387755103
35,rec,0.7,0.7,1000,25,0.25,0.001697959183673471
35,partial,0.7,0.7,1000,25,0.25,0.08339591836734762
35,no_rec,0.7,0.7,1000,25,0.25,0.0009142857142857149
36,rec,0.7,0.7,1000,25,0.25,0.0016653061224489812
36,partial,0.7,0.7,1000,25,0.25,0.12274285714285843
36,no_rec,0.7,0.7,1000,25,0.25,0.001077551020408164
37,rec,0.7,0.7,1000,25,0.25,0.0017959183673469403
37,partial,0.7,0.7,1000,25,0.25,0.16111020408163382
37,no_rec,0.7,0.7,1000,25,0.25,0.0009469387755102049
38,rec,0.7,0.7,1000,25,0.25,0.00186122448979592
38,partial,0.7,0.7,1000,25,0.25,0.001338775510204083
38,no_rec,0.7,0.7,1000,25,0.25,0.0008163265306122456
39,rec,0.7,0.7,1000,25,0.25,0.0016653061224489812
39,partial,0.7,0.7,1000,25,0.25,0.11072653061224602
39,no_rec,0.7,0.7,1000,25,0.25,0.0013714285714285723
40,rec,0.7,0.7,1000,25,0.25,0.0019265306122448996
40,partial,0.7,0.7,1000,25,0.25,0.13322448979591983
40,no_rec,0.7,0.7,1000,25,0.25,0.001077551020408164
41,rec,0.7,0.7,1000,25,0.25,0.001110204081632654
41,partial,0.7,0.7,1000,25,0.25,0.11738775510204198
41,no_rec,0.7,0.7,1000,25,0.25,0.0010775510204081643
42,rec,0.7,0.7,1000,25,0.25,0.001110204081632654
42,partial,0.7,0.7,1000,25,0.25,0.001240816326530613
42,no_rec,0.7,0.7,1000,25,0.25,0.0008816326530612252
43,rec,0.7,0.7,1000,25,0.25,0.0018938775510204098
43,partial,0.7,0.7,1000,25,0.25,0.09760000000000121
43,no_rec,0.7,0.7,1000,25,0.25,0.0009469387755102049
44,rec,0.7,0.7,1000,25,0.25,0.0019918367346938794
44,partial,0.7,0.7,1000,25,0.25,0.11983673469387869
44,no_rec,0.7,0.7,1000,25,0.25,0.0006530612244897965
45,rec,0.7,0.7,1000,25,0.25,0.0019265306122448996
45,partial,0.7,0.7,1000,25,0.25,0.15180408163265452
45,no_rec,0.7,0.7,1000,25,0.25,0.001110204081632654
46,rec,0.7,0.7,1000,25,0.25,0.0021551020408163285
46,partial,0.7,0.7,1000,25,0.25,0.0009795918367346945
46,no_rec,0.7,0.7,1000,25,0.25,0.0010122448979591845
47,rec,0.7,0.7,1000,25,0.25,0.0019265306122448996
47,partial,0.7,0.7,1000,25,0.25,0.14458775510204247
47,no_rec,0.7,0.7,1000,25,0.25,0.0011102040816326538
48,rec,0.7,0.7,1000,25,0.25,0.0019918367346938794
48,partial,0.7,0.7,1000,25,0.25,0.15905306122449175
48,no_rec,0.7,0.7,1000,25,0.25,0.0011102040816326538
49,rec,0.7,0.7,1000,25,0.25,0.0017632653061224505
49,partial,0.7,0.7,1000,25,0.25,0.08989387755102125
49,no_rec,0.7,0.7,1000,25,0.25,0.0006530612244897965
0,rec,0.1,0.1,1000,25,4.0,0.15373061224489906
0,partial,0.1,0.1,1000,25,4.0,0.45619591836735085
0,no_rec,0.1,0.1,1000,25,4.0,0.0010775510204081638
1,rec,0.1,0.1,1000,25,4.0,0.15520000000000142
1,partial,0.1,0.1,1000,25,4.0,0.3789714285714329
1,no_rec,0.1,0.1,1000,25,4.0,0.0012081632653061234
2,rec,0.1,0.1,1000,25,4.0,0.17155918367346995
2,partial,0.1,0.1,1000,25,4.0,0.6111020408163249
2,no_rec,0.1,0.1,1000,25,4.0,0.0008163265306122455
3,rec,0.1,0.1,1000,25,4.0,0.11229387755102187
3,partial,0.1,0.1,1000,25,4.0,0.44323265306122617
3,no_rec,0.1,0.1,1000,25,4.0,0.0017306122448979607
4,rec,0.1,0.1,1000,25,4.0,0.10919183673469492
4,partial,0.1,0.1,1000,25,4.0,0.612048979591836
4,no_rec,0.1,0.1,1000,25,4.0,0.0015020408163265318
5,rec,0.1,0.1,1000,25,4.0,0.15340408163265404
5,partial,0.1,0.1,1000,25,4.0,0.46684081632653346
5,no_rec,0.1,0.1,1000,25,4.0,0.0015673469387755112
6,rec,0.1,0.1,1000,25,4.0,0.10997551020408297
6,partial,0.1,0.1,1000,25,4.0,0.3227755102040841
6,no_rec,0.1,0.1,1000,25,4.0,0.001077551020408164
7,rec,0.1,0.1,1000,25,4.0,0.11366530612245013
7,partial,0.1,0.1,1000,25,4.0,0.41573877551020655
7,no_rec,0.1,0.1,1000,25,4.0,0.0010122448979591845
8,rec,0.1,0.1,1000,25,4.0,0.10546938775510296
8,partial,0.1,0.1,1000,25,4.0,0.3780244897959223
8,no_rec,0.1,0.1,1000,25,4.0,0.0010448979591836743
9,rec,0.1,0.1,1000,25,4.0,0.1087020408163272
9,partial,0.1,0.1,1000,25,4.0,0.47265306122449213
9,no_rec,0.1,0.1,1000,25,4.0,0.0013387755102040827
10,rec,0.1,0.1,1000,25,4.0,0.09786122448979696
10,partial,0.1,0.1,1000,25,4.0,0.4905142857142856
10,no_rec,0.1,0.1,1000,25,4.0,0.0009142857142857149
11,rec,0.1,0.1,1000,25,4.0,0.1250612244897973
11,partial,0.1,0.1,1000,25,4.0,0.4144979591836755
11,no_rec,0.1,0.1,1000,25,4.0,0.0013061224489795927
12,rec,0.1,0.1,1000,25,4.0,0.14445714285714398
12,partial,0.1,0.1,1000,25,4.0,0.5365224489795902
12,no_rec,0.1,0.1,1000,25,4.0,0.0010448979591836743
13,rec,0.1,0.1,1000,25,4.0,0.14991020408163408
13,partial,0.1,0.1,1000,25,4.0,0.42909387755102457
13,no_rec,0.1,0.1,1000,25,4.0,0.0013714285714285725
14,rec,0.1,0.1,1000,25,4.0,0.10002312925170165
14,partial,0.1,0.1,1000,25,4.0,0.4101224489795956
14,no_rec,0.1,0.1,1000,25,4.0,0.0010775510204081638
15,rec,0.1,0.1,1000,25,4.0,0.13240816326530705
15,partial,0.1,0.1,1000,25,4.0,0.3882122448979627
15,no_rec,0.1,0.1,1000,25,4.0,0.0011755102040816336
16,rec,0.1,0.1,1000,25,4.0,0.12901224489796065
16,partial,0.1,0.1,1000,25,4.0,0.37420408163265606
16,no_rec,0.1,0.1,1000,25,4.0,0.0013714285714285725
17,rec,0.1,0.1,1000,25,4.0,0.14181224489796085
17,partial,0.1,0.1,1000,25,4.0,0.47438367346938953
17,no_rec,0.1,0.1,1000,25,4.0,0.0011428571428571436
18,rec,0.1,0.1,1000,25,4.0,0.12754421768707508
18,partial,0.1,0.1,1000,25,4.0,0.5024149659863961
18,no_rec,0.1,0.1,1000,25,4.0,0.0011428571428571436
19,rec,0.1,0.1,1000,25,4.0,0.18063673469387856
19,partial,0.1,0.1,1000,25,4.0,0.5028244897959195
19,no_rec,0.1,0.1,1000,25,4.0,0.0013061224489795927
20,rec,0.1,0.1,1000,25,4.0,0.10275918367347026
20,partial,0.1,0.1,1000,25,4.0,0.41704489795918637
20,no_rec,0.1,0.1,1000,25,4.0,0.0009469387755102049
21,rec,0.1,0.1,1000,25,4.0,0.15624489795918517
21,partial,0.1,0.1,1000,25,4.0,0.4776816326530627
21,no_rec,0.1,0.1,1000,25,4.0,0.0016000000000000012
22,rec,0.1,0.1,1000,25,4.0,0.15412244897959287
22,partial,0.1,0.1,1000,25,4.0,0.4407183673469423
22,no_rec,0.1,0.1,1000,25,4.0,0.0013714285714285723
23,rec,0.1,0.1,1000,25,4.0,0.1366204081632664
23,partial,0.1,0.1,1000,25,4.0,0.5330938775510207
23,no_rec,0.1,0.1,1000,25,4.0,0.0007510204081632656
24,rec,0.1,0.1,1000,25,4.0,0.15575510204081755
24,partial,0.1,0.1,1000,25,4.0,0.5284897959183653
24,no_rec,0.1,0.1,1000,25,4.0,0.0006530612244897964
25,rec,0.1,0.1,1000,25,4.0,0.16764081632653147
25,partial,0.1,0.1,1000,25,4.0,0.48760816326530776
25,no_rec,0.1,0.1,1000,25,4.0,0.0008489795918367353
26,rec,0.1,0.1,1000,25,4.0,0.11173877551020549
26,partial,0.1,0.1,1000,25,4.0,0.3909224489795951
26,no_rec,0.1,0.1,1000,25,4.0,0.0010448979591836743
27,rec,0.1,0.1,1000,25,4.0,0.1264653061224499
27,partial,0.1,0.1,1000,25,4.0,0.45051428571428814
27,no_rec,0.1,0.1,1000,25,4.0,0.0013387755102040825
28,rec,0.1,0.1,1000,25,4.0,0.11180408163265397
28,partial,0.1,0.1,1000,25,4.0,0.4609306122448998
28,no_rec,0.1,0.1,1000,25,4.0,0.0009795918367346945
29,rec,0.1,0.1,1000,25,4.0,0.07441632653061309
29,partial,0.1,0.1,1000,25,4.0,0.34922448979592097
29,no_rec,0.1,0.1,1000,25,4.0,0.0008489795918367353
30,rec,0.1,0.1,1000,25,4.0,0.09782857142857253
30,partial,0.1,0.1,1000,25,4.0,0.41384489795918744
30,no_rec,0.1,0.1,1000,25,4.0,0.0013714285714285723
31,rec,0.1,0.1,1000,25,4.0,0.12742312925170196
31,partial,0.1,0.1,1000,25,4.0,0.4816816326530601
31,no_rec,0.1,0.1,1000,25,4.0,0.0010775510204081638
32,rec,0.1,0.1,1000,25,4.0,0.10599183673469471
32,partial,0.1,0.1,1000,25,4.0,0.4093714285714335
32,no_rec,0.1,0.1,1000,25,4.0,0.0008816326530612252
33,rec,0.1,0.1,1000,25,4.0,0.1147102040816342
33,partial,0.1,0.1,1000,25,4.0,0.40470204081633077
33,no_rec,0.1,0.1,1000,25,4.0,0.0011428571428571436
34,rec,0.1,0.1,1000,25,4.0,0.18285714285714402
34,partial,0.1,0.1,1000,25,4.0,0.5779918367346919
34,no_rec,0.1,0.1,1000,25,4.0,0.0010775510204081643
35,rec,0.1,0.1,1000,25,4.0,0.09289795918367416
35,partial,0.1,0.1,1000,25,4.0,0.3588897959183703
35,no_rec,0.1,0.1,1000,25,4.0,0.0017632653061224503
36,rec,0.1,0.1,1000,25,4.0,0.17557551020408224
36,partial,0.1,0.1,1000,25,4.0,0.48006530612244885
36,no_rec,0.1,0.1,1000,25,4.0,0.0012081632653061234
37,rec,0.1,0.1,1000,25,4.0,0.11533061224489896
37,partial,0.1,0.1,1000,25,4.0,0.4124734693877596
37,no_rec,0.1,0.1,1000,25,4.0,0.0010122448979591845
